citrus fruit,margarine,,,,,,,,,,,,,,,,,
yogurt,tropical fruit,coffee,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
yogurt,pip fruit,cream cheese,,,,,,,,,,,,,,,,
whole milk,other vegetables,long life bakery product,,,,,,,,,,,,,,,,
whole milk,yogurt,butter,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,bottled beer,UHT-milk,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,tropical fruit,chocolate,white bread,,,,,,,,,,,,,,
whole milk,yogurt,bottled water,tropical fruit,citrus fruit,butter,curd,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,
rolls/buns,soda,frankfurter,,,,,,,,,,,,,,,,
tropical fruit,chicken,,,,,,,,,,,,,,,,,
newspapers,fruit/vegetable juice,butter,sugar,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
tropical fruit,newspapers,cream cheese,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,root vegetables,tropical fruit,waffles,salty snack,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,
rolls/buns,soda,sausage,chocolate,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
soda,shopping bags,newspapers,canned beer,fruit/vegetable juice,brown bread,,,,,,,,,,,,,
yogurt,bottled water,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,bottled water,napkins,hamburger meat,hygiene articles,,,,,,,,,,,,,
whole milk,other vegetables,root vegetables,sugar,,,,,,,,,,,,,,,
whole milk,other vegetables,soda,whipped/sour cream,pork,berries,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,
soda,pastry,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,root vegetables,dessert,,,,,,,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,,,,,,,,,
rolls/buns,soda,shopping bags,sausage,canned beer,,,,,,,,,,,,,,
whole milk,soda,yogurt,root vegetables,tropical fruit,pastry,brown bread,domestic eggs,coffee,waffles,sugar,,,,,,,,
yogurt,berries,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
rolls/buns,soda,yogurt,bottled water,newspapers,cream cheese,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
bottled water,pastry,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,bottled water,root vegetables,whipped/sour cream,butter,curd,long life bakery product,UHT-milk,,,,,,,,,,
rolls/buns,sausage,newspapers,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,,,,,,,,,,,,,,,,,
other vegetables,tropical fruit,fruit/vegetable juice,brown bread,domestic eggs,margarine,curd,,,,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,,,,,,,,,
whole milk,yogurt,pastry,curd,,,,,,,,,,,,,,,
canned beer,brown bread,,,,,,,,,,,,,,,,,
rolls/buns,bottled water,napkins,hygiene articles,,,,,,,,,,,,,,,
rolls/buns,whipped/sour cream,beef,,,,,,,,,,,,,,,,
rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,
whole milk,other vegetables,frozen vegetables,salty snack,,,,,,,,,,,,,,,
sausage,pastry,,,,,,,,,,,,,,,,,
whole milk,sausage,beef,,,,,,,,,,,,,,,,
rolls/buns,tropical fruit,brown bread,frankfurter,sugar,,,,,,,,,,,,,,
rolls/buns,soda,pastry,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
whole milk,sausage,curd,,,,,,,,,,,,,,,,
whole milk,rolls/buns,tropical fruit,pip fruit,chocolate,berries,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,margarine,butter,,,,,,,,,,,,,,,,
whole milk,citrus fruit,newspapers,domestic eggs,frankfurter,,,,,,,,,,,,,,
whole milk,soda,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,sugar,,,,,,,,,,,,,,,
whole milk,pastry,citrus fruit,curd,,,,,,,,,,,,,,,
bottled water,bottled beer,fruit/vegetable juice,,,,,,,,,,,,,,,,
soda,bottled water,bottled beer,sugar,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,root vegetables,fruit/vegetable juice,domestic eggs,margarine,frozen vegetables,,,,,,,,,,,,
root vegetables,frozen vegetables,onions,,,,,,,,,,,,,,,,
frozen vegetables,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
rolls/buns,yogurt,root vegetables,sausage,onions,,,,,,,,,,,,,,
newspapers,coffee,,,,,,,,,,,,,,,,,
other vegetables,whipped/sour cream,pork,,,,,,,,,,,,,,,,
yogurt,berries,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
berries,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,
yogurt,citrus fruit,cream cheese,,,,,,,,,,,,,,,,
citrus fruit,whipped/sour cream,coffee,pork,chocolate,hamburger meat,berries,onions,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,shopping bags,sausage,canned beer,fruit/vegetable juice,brown bread,waffles,,,,,,,,,,,,
other vegetables,root vegetables,tropical fruit,citrus fruit,butter,chicken,hamburger meat,,,,,,,,,,,,
whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,soda,sausage,pastry,pork,,,,,,,,,,,,,
rolls/buns,bottled water,frankfurter,,,,,,,,,,,,,,,,
whole milk,yogurt,shopping bags,sausage,bottled beer,fruit/vegetable juice,coffee,napkins,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,
root vegetables,citrus fruit,brown bread,beef,berries,,,,,,,,,,,,,,
whole milk,rolls/buns,soda,whipped/sour cream,waffles,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,root vegetables,sausage,bottled beer,frankfurter,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,bottled water,newspapers,margarine,frozen vegetables,dessert,,,,,,,,,,,,
whipped/sour cream,berries,,,,,,,,,,,,,,,,,
citrus fruit,UHT-milk,berries,,,,,,,,,,,,,,,,
whole milk,yogurt,tropical fruit,,,,,,,,,,,,,,,,
whole milk,rolls/buns,bottled beer,frozen vegetables,hamburger meat,,,,,,,,,,,,,,
whole milk,other vegetables,soda,domestic eggs,frozen vegetables,hamburger meat,,,,,,,,,,,,,
whole milk,soda,cream cheese,,,,,,,,,,,,,,,,
other vegetables,shopping bags,pastry,margarine,coffee,long life bakery product,,,,,,,,,,,,,
sausage,frankfurter,waffles,long life bakery product,,,,,,,,,,,,,,,
canned beer,dessert,,,,,,,,,,,,,,,,,
soda,pastry,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,tropical fruit,sausage,citrus fruit,pip fruit,fruit/vegetable juice,domestic eggs,frankfurter,cream cheese,sugar,hygiene articles,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,sausage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
frankfurter,dessert,,,,,,,,,,,,,,,,,
whole milk,yogurt,shopping bags,brown bread,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
soda,berries,,,,,,,,,,,,,,,,,
curd,,,,,,,,,,,,,,,,,,
other vegetables,tropical fruit,coffee,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,sausage,frankfurter,margarine,,,,,,,,,,,,,,
other vegetables,canned beer,,,,,,,,,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
citrus fruit,newspapers,margarine,butter,white bread,cream cheese,,,,,,,,,,,,,
rolls/buns,frankfurter,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,pip fruit,frankfurter,frozen vegetables,sugar,,,,,,,,,,,,
soda,yogurt,,,,,,,,,,,,,,,,,
rolls/buns,bottled water,citrus fruit,hamburger meat,onions,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,shopping bags,chocolate,,,,,,,,,,,,,,,
sausage,citrus fruit,pork,white bread,dessert,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,curd,napkins,dessert,,,,,,,,,,,,,,
